iter	Logloss
0	0.6253661514
1	0.5849337918
2	0.536279904
3	0.5023256012
4	0.468263007
5	0.4451078038
6	0.4168002789
7	0.3894230761
8	0.3669416184
9	0.3412791736
10	0.324693986
11	0.3057066742
12	0.2893453502
13	0.2708628036
14	0.2622049885
15	0.2542612977
16	0.2467191604
17	0.2349477506
18	0.2216207163
19	0.2194196829
20	0.2067593479
21	0.196822125
22	0.1885830137
23	0.1818922912
24	0.175404265
25	0.169495576
26	0.1602448015
27	0.1564048937
28	0.1519150351
29	0.1462531517
30	0.1390053511
31	0.1345429657
32	0.130559425
33	0.1262843709
34	0.122541826
35	0.1173353838
36	0.1152234248
37	0.1128556847
38	0.1087506385
39	0.1056180963
40	0.1022709319
41	0.09920912162
42	0.09601765173
43	0.09418945859
44	0.09217532288
45	0.08896937414
46	0.08646472017
47	0.08459669913
48	0.08276324422
49	0.08145968982
