iter	Passed	Remaining
0	4	763
1	5	493
2	6	379
3	7	323
4	8	288
5	10	274
6	11	256
7	12	245
8	13	234
9	14	225
10	15	217
11	16	210
12	17	204
13	18	200
14	19	196
15	20	192
16	21	188
17	22	185
18	23	181
19	23	176
20	24	173
21	26	173
22	27	171
23	28	169
24	29	166
25	30	164
26	31	162
27	31	159
28	32	157
29	33	156
30	34	154
31	35	152
32	36	150
33	37	149
34	38	147
35	39	145
36	40	144
37	41	142
38	42	141
39	43	140
40	45	140
41	46	138
42	47	137
43	48	136
44	49	135
45	50	134
46	52	135
47	53	134
48	54	133
49	55	131
50	56	130
51	57	129
52	58	127
53	59	125
54	60	124
55	61	123
56	62	121
57	63	120
58	64	119
59	65	118
60	66	116
61	67	115
62	68	114
63	69	113
64	70	111
65	71	110
66	72	109
67	73	108
68	74	107
69	75	106
70	76	105
71	77	103
72	78	102
73	79	101
74	80	100
75	81	98
76	82	97
77	83	96
78	84	95
79	85	94
80	86	93
81	87	91
82	88	90
83	89	89
84	90	88
85	91	87
86	92	86
87	93	85
88	94	83
89	95	82
90	96	81
91	97	80
92	98	79
93	99	78
94	100	77
95	101	76
96	102	75
97	103	74
98	104	72
99	105	71
100	106	70
101	107	69
102	108	68
103	109	67
104	110	66
105	111	65
106	112	64
107	113	63
108	114	62
109	115	61
110	116	59
111	117	58
112	118	57
113	119	56
114	120	55
115	121	54
116	122	53
117	123	52
118	124	51
119	125	50
120	126	49
121	127	48
122	128	47
123	129	46
124	130	44
125	131	43
126	132	42
127	133	41
128	134	40
129	135	39
130	136	38
131	137	37
132	138	36
133	139	35
134	140	34
135	141	33
136	142	32
137	143	31
138	144	30
139	145	29
140	146	28
141	147	27
142	148	26
143	149	24
144	150	23
145	151	22
146	152	21
147	153	20
148	154	19
149	155	18
150	156	17
151	157	16
152	158	15
153	159	14
154	160	13
155	161	12
156	162	11
157	163	10
158	164	9
159	165	8
160	166	7
161	167	6
162	168	5
163	169	4
164	170	3
165	171	2
166	172	1
167	173	0
